7000 17148 
1 5173 1
1 3161 1
1 6329 1
1 4864 1
1 910 1
1 6331 -1
2 6714 1
2 367 -1
2 3578 1
3 3715 -1
3 3305 -1
3 1577 -1
4 461 1
4 6914 1
4 5051 -1
4 6076 1
4 5813 -1
4 4523 -1
5 5146 1
5 4057 1
5 615 1
5 2681 1
5 456 -1
6 143 1
6 3457 1
6 2990 -1
7 447 -1
7 199 1
7 3432 1
8 1081 -1
8 2559 1
8 2320 1
8 3858 -1
8 2697 -1
9 2061 -1
9 1748 1
9 3687 -1
10 5801 1
10 1836 -1
10 1706 1
10 58 -1
10 6533 1
10 4668 1
11 4190 -1
11 4489 1
11 3646 -1
11 4074 -1
11 4073 1
12 187 1
12 4178 -1
13 5848 1
13 5921 -1
13 1212 1
13 24 1
13 5433 1
13 5658 1
14 5793 -1
14 5025 1
14 5202 1
14 3982 -1
15 1521 1
15 6326 1
16 6707 -1
16 4814 -1
16 5940 1
16 4891 1
16 5352 -1
17 463 1
17 1316 1
17 6056 -1
17 6829 1
18 264 -1
18 2344 1
18 5897 -1
19 5753 -1
19 4508 1
19 192 1
20 383 1
20 597 -1
20 4650 -1
20 5496 1
20 4845 -1
20 6085 -1
20 3124 1
20 6064 1
20 1391 -1
20 4211 -1
20 2041 1
21 3714 1
21 2240 1
21 3589 -1
21 5014 -1
22 84 -1
22 1484 -1
22 5803 -1
22 246 -1
23 3721 1
23 6320 1
23 35 1
23 242 -1
25 2533 -1
25 6785 1
25 4670 1
25 1303 1
25 998 1
25 6930 -1
25 464 1
25 443 -1
25 2263 1
25 5863 -1
25 4529 1
26 911 -1
26 2800 1
26 2583 1
26 5870 -1
26 1145 -1
27 4718 -1
27 5140 1
27 4751 1
27 6738 1
27 4859 1
28 6491 -1
28 6752 -1
28 5108 -1
29 2922 -1
29 6145 1
30 6065 1
30 335 1
30 2580 1
30 3642 -1
30 5674 -1
31 3706 1
31 1985 1
31 4023 1
31 4297 -1
31 5345 -1
32 400 -1
32 6079 -1
33 2113 -1
33 4752 1
33 6259 1
33 2335 1
33 1425 1
33 4179 -1
34 2593 -1
34 5820 -1
34 1681 1
34 3455 1
34 5597 -1
34 5948 -1
34 6977 1
35 4793 -1
36 5194 1
36 1749 -1
36 6506 1
36 1612 -1
36 2188 -1
37 6643 1
37 1744 -1
37 3446 1
37 828 -1
37 4838 -1
37 6527 1
37 3707 -1
38 4025 1
38 2095 -1
38 1299 -1
38 3736 1
38 1233 1
39 6290 -1
39 1760 -1
39 1422 1
39 644 1
39 3018 -1
39 660 -1
39 6872 -1
40 5405 -1
40 1543 1
41 6077 1
41 872 1
41 2841 -1
41 6093 1
42 1065 -1
42 6623 -1
42 92 -1
42 2954 1
42 6631 1
43 1869 -1
44 3730 1
44 4020 1
44 962 -1
44 1398 -1
44 4436 -1
45 1205 -1
45 2512 -1
45 191 1
45 6025 -1
45 2016 1
45 268 1
45 3454 1
46 3357 -1
46 1127 1
46 4210 1
46 1539 1
47 3817 1
48 3820 -1
48 6219 1
49 5739 1
49 6136 -1
49 4785 1
49 3221 -1
49 4019 1
49 774 -1
49 6163 1
50 6280 -1
50 1143 -1
50 6403 -1
50 3561 -1
51 1261 1
51 3195 1
52 6607 -1
52 2666 -1
52 3436 1
52 765 -1
52 781 1
52 3454 1
53 97 1
53 6784 1
53 5547 1
53 4918 -1
53 1325 -1
54 4472 -1
54 4317 -1
54 3036 1
54 3376 1
54 6222 1
54 5516 1
54 4727 1
55 2297 1
55 2735 1
55 2656 1
55 6562 -1
55 2696 1
55 1206 -1
55 2770 -1
55 6315 -1
56 969 -1
56 2225 1
56 861 1
56 886 1
56 326 -1
56 1121 -1
56 495 1
56 3242 -1
57 2853 -1
57 3199 -1
57 4370 1
58 5689 -1
